,hash,"dtype-f,stride-1","dtype-f,stride-2","dtype-f,stride-4","dtype-d,stride-1","dtype-d,stride-2","dtype-d,stride-4"
71,5cc7ef066fca7a821a2160b095578384c301ae3c,0.00010170480657867507,0.00010670593021428051,0.0001325769096501424,0.00011405971346858877,0.00011537204323915685,0.00011544641247382969
72,c6d2aae8a92371bc9f7ddda990176fb014adb0d7,0.00010412968182171968,0.00010637347477681069,0.00010610068316189895,9.997030433030727e-05,0.00010170578278837527,0.00010176526532687808
73,e3b831cd85e2f4d73b0db8e8d501828b50a96c64,9.998000000955976e-05,0.00010104483010861073,0.00010237466981294038,9.776405002577865e-05,0.00010394013634967532,9.926284723473213e-05
74,b3a7a69a198a8385735584b88408c91a1eef5a4b,0.00013391255555371385,0.00012920707253684784,0.0001317720970250979,0.00012739638409782302,0.00012731862319713505,0.00012704293569965687
75,bc6a6084f6e49bd78c12508131395304a63cc6ca,0.0001000839305628755,0.00010126484112248857,0.00010258100001710073,9.75422636408687e-05,9.914066204483215e-05,0.00010004717131340403
76,c0d36c88b8b525f5869eefd893d1d77ffe41903e,9.600483648351986e-05,9.736214084444907e-05,9.901649093742228e-05,9.39627226960676e-05,9.518057413515635e-05,9.597828175174072e-05
77,bcdfd208a9b99036cc6e379180c3242b08dedc47,9.598473182202062e-05,9.687548643507233e-05,9.87673318666345e-05,9.348824096377939e-05,9.487226356709883e-05,9.55933999979276e-05
78,49c560c22f137907ea6a240591e49b004f28444b,9.575856357431886e-05,9.674125903984532e-05,0.00010050596509245224,9.540801362494345e-05,9.669639713078668e-05,9.7599120501265e-05
79,45fb3a28100d509b695f432cf100f36f0e4c2f9f,9.566066371255807e-05,9.683073188749734e-05,9.796345795757164e-05,9.336310004900125e-05,9.478206815071065e-05,9.565533638868312e-05
80,273b7fe0a94ae3a8ac96f4b34a396a8d3584c210,9.589953181355005e-05,9.716609545814043e-05,9.890195903029632e-05,9.418296355182644e-05,9.483095451617951e-05,9.563642273530026e-05
81,8840d950e0eedf2eadb96d9867d8f8341e51aaac,9.607627262911674e-05,9.715040915497493e-05,9.851812487963966e-05,9.375730468574064e-05,9.485789540287275e-05,9.542699077759277e-05
82,9d9cc5ca473d52eeda693a254fc0a1cbd4f4f1c4,0.00013471899257959142,0.0001360299630665823,0.00013637785509606635,0.0001322798695806684,0.0001334480496422787,0.00013318776778971264
